id,entity_name,semantic_name
C0059882,Euchromatin,Cell Component;
C0059895,eumelanin,Organic Chemical;
C0059954,exophthalmos producing substance,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0060095,Fatty Acid-Binding Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0060229,ferric chloride,Pharmacologic Substance;Inorganic Chemical;
C0060234,prussian blue insoluble,"Pharmacologic Substance;Indicator, Reagent, or Diagnostic Aid;Inorganic Chemical;"
C0060240,ferric oxide,Pharmacologic Substance;Inorganic Chemical;
C0060245,ferric subsulfate solution,Pharmacologic Substance;Inorganic Chemical;
C0060282,ferrous sulfate,Pharmacologic Substance;Inorganic Chemical;
C0060317,fiberglass,Substance;
C0060320,fibrillarin,"Amino Acid, Peptide, or Protein;"
C0060323,Fibrin fragment D,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0060324,fibrin receptor,"Amino Acid, Peptide, or Protein;Receptor;"
C0060389,finasteride,Organic Chemical;Pharmacologic Substance;Hormone;
C0060546,fluorescent age pigment,Biologically Active Substance;
C0060627,FOM protocol,Therapeutic or Preventive Procedure;
C0060631,Fontana-Masson stain,Pharmacologic Substance;Inorganic Chemical;
C0060916,G-substrate,"Amino Acid, Peptide, or Protein;"
C0060954,galactaric acid,Organic Chemical;
C0061035,gamma-collidine,Organic Chemical;Pharmacologic Substance;
C0061131,gastrin I,"Amino Acid, Peptide, or Protein;Hormone;"
C0061137,gastrinase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0061241,germin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0061308,Glia Maturation Factor,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0061506,glutaric acid,Organic Chemical;
C0061622,Glycocalyx,Cell Component;
C0061631,glycogenin glucosyltransferase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0061764,glyphosate,Organic Chemical;Hazardous or Poisonous Substance;
C0061790,gold chloride,Inorganic Chemical;
C0061828,gougerotin,"Nucleic Acid, Nucleoside, or Nucleotide;Pharmacologic Substance;"
C0061856,Gram's stain,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0061866,granular blue,Organic Chemical;Pharmacologic Substance;
C0061876,granulose,Organic Chemical;
C0061878,granzyme B,"Amino Acid, Peptide, or Protein;Enzyme;"
C0061928,GTPase-Activating Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0061953,guanidinoethylmercaptosuccinic acid,Organic Chemical;
C0062160,heat-stable enterotoxin (Yersinia),"Amino Acid, Peptide, or Protein;Biologically Active Substance;Hazardous or Poisonous Substance;"
C0062219,hementin,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Enzyme;"
C0062378,hemoglobin Lepore,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0062496,hemozoin,Organic Chemical;Biologically Active Substance;
C0062503,Heparan Sulfate Proteoglycans,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0062609,hexacosanoic acid,Organic Chemical;
C0062612,ferrocyanide,Inorganic Chemical;
C0062694,HGG 12,Organic Chemical;Pharmacologic Substance;
C0062776,histone methyltransferase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0063083,Hydrogel,Organic Chemical;Pharmacologic Substance;
C0063092,HydroLink,Organic Chemical;
C0063093,hydrolysin,"Amino Acid, Peptide, or Protein;"
C0063095,hydromer,Organic Chemical;
C0063223,hyperoside,Organic Chemical;
C0063264,Cisplatin/Doxorubicin/Ifosfamide Regimen,Therapeutic or Preventive Procedure;
C0063354,IgO,"Amino Acid, Peptide, or Protein;"
C0063419,immunoglobulin Fv,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0063549,Innovar,Organic Chemical;Pharmacologic Substance;
C0063684,Amylin,"Amino Acid, Peptide, or Protein;Hormone;"
C0063740,involucrin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0063812,iomex,Organic Chemical;Hazardous or Poisonous Substance;
C0064039,isophosphamide mustard,Organic Chemical;Pharmacologic Substance;
C0064091,Isoton,Organic Chemical;Pharmacologic Substance;
C0064150,Jessner's solution,Organic Chemical;Pharmacologic Substance;
C0064197,K-18 conjugate,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0064210,KA-107,Organic Chemical;Pharmacologic Substance;
C0064295,keratohyalin,"Amino Acid, Peptide, or Protein;"
C0064582,lactic acid,Organic Chemical;Pharmacologic Substance;Biologically Active Substance;
C0064612,lactose permease,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0064635,Lamins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0064636,lamotrigine,Organic Chemical;Pharmacologic Substance;
C0064736,Ledermix,Organic Chemical;Biomedical or Dental Material;
C0064855,Leukotrienes E,Organic Chemical;Biologically Active Substance;
C0064871,levodopa methyl ester,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0064892,LH 1,Organic Chemical;
C0064959,lichenin,Organic Chemical;
C0065011,link protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0065031,lipid transfer protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0065041,lipoarabinomannan,Organic Chemical;Biologically Active Substance;
C0065042,Annexins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0065078,lissamine rhodamine B,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0065244,lumin,Organic Chemical;Pharmacologic Substance;
C0065263,lutenurine,Organic Chemical;Pharmacologic Substance;
C0065274,Luxol Fast Blue MBS,"Organic Chemical;Pharmacologic Substance;Indicator, Reagent, or Diagnostic Aid;"
C0065443,M-231,Organic Chemical;
C0065584,malignin,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0065764,bleomycin/cisplatin/methotrexate protocol,Therapeutic or Preventive Procedure;
C0066004,merokeratin,"Amino Acid, Peptide, or Protein;"
C0066135,methionylmethionine,"Amino Acid, Peptide, or Protein;"
C0066256,methyl isocyanate,Organic Chemical;Hazardous or Poisonous Substance;
C0066409,methylmethacrylate,Organic Chemical;Biomedical or Dental Material;
C0066503,mica,Pharmacologic Substance;Inorganic Chemical;
C0066511,microcin,"Amino Acid, Peptide, or Protein;Antibiotic;"
C0066525,microvillin,"Amino Acid, Peptide, or Protein;"
C0066772,lysophosphatidic acid,Organic Chemical;
C0066912,Mucicarmine,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0066913,mucidin,Organic Chemical;Pharmacologic Substance;
C0066924,"mucous glycoprotein, gastric","Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0066928,mullerian-inhibiting hormone,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Hormone;"
C0066992,myasthenia gravis anti-skeletal muscle antibody,Immunologic Factor;
C0067000,mycobacidin,Organic Chemical;Pharmacologic Substance;
C0067052,Myogenic Regulatory Factor 5,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0067053,Myogenin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0067081,Mysteclin-Ovula,Organic Chemical;Pharmacologic Substance;
C0067320,"N,N,N',N'-tetramethyl-4,4'-methylenedianiline",Organic Chemical;Pharmacologic Substance;
C0067518,N-(4-aminophenethyl)spiroperidol,Organic Chemical;
C0067746,N-acetylmannosaminyl(1-4)N-acetylglucosamine,Organic Chemical;
C0068355,NADPH Oxidase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0068407,naphtha,Organic Chemical;Hazardous or Poisonous Substance;
C0068424,Naphthol yellow S,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0068477,nebulin,"Amino Acid, Peptide, or Protein;"
C0068481,necrosin,Biologically Active Substance;Hazardous or Poisonous Substance;
C0068575,nestin protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0068649,neurotropin,Organic Chemical;Pharmacologic Substance;
C0068758,nikkomycin,"Nucleic Acid, Nucleoside, or Nucleotide;Amino Acid, Peptide, or Protein;Antibiotic;"
C0068808,nitric acid,Hazardous or Poisonous Substance;Inorganic Chemical;
C0068895,nucleoside diphosphate kinase A,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069021,cathine,Organic Chemical;Pharmacologic Substance;
C0069115,"Antigens, Nuclear",Immunologic Factor;
C0069116,NFI Transcription Factors,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069139,nucleolin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069299,ochratoxin A,Organic Chemical;Pharmacologic Substance;Hazardous or Poisonous Substance;
C0069304,"POU5F1 protein, human","Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069375,odorant-binding protein,"Amino Acid, Peptide, or Protein;Receptor;"
C0069388,solvent red 27,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0069416,olfactory marker protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069449,olive oil,Organic Chemical;Food;
C0069494,oncofetal antigens,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0069507,"E7 protein, Human papillomavirus type 18","Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069515,erbB-2 Receptor,"Amino Acid, Peptide, or Protein;Enzyme;Receptor;"
C0069591,Orange G,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0069596,Orcein,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0069675,Bone Morphogenetic Protein 3,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0069678,osteum,Organic Chemical;Pharmacologic Substance;
C0069715,oxalic acid,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0069717,oxaliplatin,Organic Chemical;Pharmacologic Substance;
C0069950,Palerol,Organic Chemical;Pharmacologic Substance;
C0070099,parathyroid hormone-related protein,"Amino Acid, Peptide, or Protein;Hormone;"
C0070102,parathyroidin,"Amino Acid, Peptide, or Protein;"
C0070220,penclomedine,Organic Chemical;Pharmacologic Substance;
C0070277,pentrinitrol,Organic Chemical;Pharmacologic Substance;
C0070410,perforin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0070453,perlolyrine,Organic Chemical;
C0070509,phagocytin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0070562,phenidone,Organic Chemical;
C0070709,phenyltoloxamine,Organic Chemical;Pharmacologic Substance;
C0070715,pheomelanin,Organic Chemical;
C0070895,foscarnet,Organic Chemical;Pharmacologic Substance;
C0071044,picric acid,Organic Chemical;Pharmacologic Substance;
C0071061,Fimbriae Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0071109,"piperazine-N,N'-bis(2-ethanesulfonic acid)","Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0071231,plastoid,Biomedical or Dental Material;
C0071253,Platelet-Derived Growth Factor Receptor,"Amino Acid, Peptide, or Protein;Enzyme;Receptor;"
C0071443,Polylactic acid (substance),Organic Chemical;Biomedical or Dental Material;
C0071571,Polyform,Organic Chemical;
C0071599,polylactic acid-polyglycolic acid copolymer,Organic Chemical;Biomedical or Dental Material;
C0071722,POPOP,Organic Chemical;
C0071743,post albumin,"Amino Acid, Peptide, or Protein;"
C0071763,potassium ferrocyanide,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0071767,potassium hydroxide,"Pharmacologic Substance;Indicator, Reagent, or Diagnostic Aid;Inorganic Chemical;"
C0071973,Procarbazine/Ifosfamide/Methotrexate Regimen,Therapeutic or Preventive Procedure;
C0072053,procollagen Type I N-terminal peptide,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0072074,Profilins,"Amino Acid, Peptide, or Protein;"
C0072108,Proliferating Cell Nuclear Antigen,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0072393,protein S,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0072443,proticine,"Amino Acid, Peptide, or Protein;"
C0072470,Proto-Oncogene Protein c-kit,"Amino Acid, Peptide, or Protein;Immunologic Factor;Receptor;"
C0072473,Proto-Oncogene Proteins c-myb,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0072480,Proto-Oncogene Proteins c-sis,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0072582,pterosin,Organic Chemical;
C0072587,PTU 23,Organic Chemical;Pharmacologic Substance;
C0072672,pyrenemethyl laurate,"Organic Chemical;Pharmacologic Substance;Indicator, Reagent, or Diagnostic Aid;"
C0072707,pyridoxal phosphate-6-azophenyl-2'-sulfonic acid,Organic Chemical;
C0072802,pyruvic acid,Organic Chemical;Pharmacologic Substance;Biologically Active Substance;
C0072980,sirolimus,Organic Chemical;Antibiotic;
C0073019,recognins,"Amino Acid, Peptide, or Protein;"
C0073023,red pigment-concentrating hormone,"Amino Acid, Peptide, or Protein;Hormone;"
C0073098,reticuline,Organic Chemical;Pharmacologic Substance;
C0073949,Safranine T,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0073980,salicylhydroxamic acid,Organic Chemical;Pharmacologic Substance;
C0074001,salsoline,Organic Chemical;Biologically Active Substance;Hazardous or Poisonous Substance;
C0074125,Bleomycin/Doxorubicin/Lomustine/Streptozocin Regimen,Therapeutic or Preventive Procedure;
C0074386,serpentine (alkaloid),Organic Chemical;Pharmacologic Substance;
C0074477,Sialomucins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0074529,Silk,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Biologically Active Substance;"
C0074722,sodium bicarbonate,Organic Chemical;Pharmacologic Substance;
C0074759,sodium polymetaphosphate,"Indicator, Reagent, or Diagnostic Aid;Inorganic Chemical;"
C0074774,sodium thiosulfate,Pharmacologic Substance;Inorganic Chemical;
C0075005,spiralin,"Amino Acid, Peptide, or Protein;"
C0075173,Staphylococcal pyrogenic exotoxin C,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Hazardous or Poisonous Substance;"
C0075176,staphylococcin,"Amino Acid, Peptide, or Protein;Antibiotic;"
C0075322,streptovitacin A,Organic Chemical;
C0075355,styrofoam,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0075687,synaptin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0075691,syndecan,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0075710,syringin,Organic Chemical;Pharmacologic Substance;
C0075742,CD38 Antigen,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0075804,TANDEM (Brand Name),Organic Chemical;Pharmacologic Substance;
C0076080,temozolomide,Organic Chemical;Pharmacologic Substance;
C0076466,Thioflavin T,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0076494,Thionine,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0076635,Thyroid microsomal antibodies,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0076638,thyroidin,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0076733,titanium dioxide,Pharmacologic Substance;Inorganic Chemical;
C0076833,container tops,Medical Device;
C0076994,Triad Acrylic Resin,Organic Chemical;Biomedical or Dental Material;
C0077034,trichloroacetaldehyde,Organic Chemical;Pharmacologic Substance;
C0077052,trichohyalin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0077066,Trichrome stain,"Organic Chemical;Indicator, Reagent, or Diagnostic Aid;"
C0077072,triclocarban,Organic Chemical;Pharmacologic Substance;
C0077143,trilobine,Organic Chemical;Pharmacologic Substance;
C0077275,triptorelin,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Hormone;"
C0077716,UDP-N-acetylglucosamine-lysosomal-enzyme-N-acetylglucosaminephosphotransferase,"Amino Acid, Peptide, or Protein;Enzyme;"
C0077918,Tamm-Horsfall protein,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0077941,urushiol,Organic Chemical;Hazardous or Poisonous Substance;
C0077973,VAD I protocol,Therapeutic or Preventive Procedure;
C0078040,Doxorubicin/Prednisone/Vincristine Regimen,Therapeutic or Preventive Procedure;
C0078058,"endothelial growth factor A, vascular","Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0078140,bleomycin/methotrexate/vincristine protocol,Therapeutic or Preventive Procedure;
C0078238,villin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0078754,Zenker's solution,Pharmacologic Substance;Inorganic Chemical;
C0078814,zirconium oxide,Pharmacologic Substance;Inorganic Chemical;
C0078862,Zyplast,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0078939,Amyloid beta-Peptides,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0078981,Arachnoid Cysts,Disease or Syndrome;
C0078988,Asian People,Population Group;
C0079004,B-Lymphocyte Subsets,Intellectual Product;
C0079024,Bison,Mammal;
C0079037,Branchial Cleft Anomalies,Congenital Abnormality;
C0079043,Bronchoconstriction,Organ or Tissue Function;
C0079104,Pap smear,Laboratory Procedure;
C0079134,Clostridioides difficile,Bacterium;
C0079141,Compact discs,Manufactured Object;
C0079153,"Hyperkeratosis, Epidermolytic",Disease or Syndrome;
C0079154,Congenital Nonbullous Ichthyosiform Erythroderma,Disease or Syndrome;
C0079189,cytokine,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079218,"Fibromatosis, Aggressive",Neoplastic Process;
C0079220,Destination,Spatial Concept;
C0079240,Dilution technique,Laboratory Procedure;
C0079259,Dystrophin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0079278,"Endoscopy, Gastrointestinal",Diagnostic Procedure;
C0079280,Endothelial Growth Factors,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0079281,Endothelin-1,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0079284,Endothelin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0079293,Epidermolysis Bullosa Acquisita,Disease or Syndrome;
C0079294,Epidermolysis Bullosa Dystrophica,Disease or Syndrome;
C0079298,Epidermolysis Bullosa Simplex,Disease or Syndrome;
C0079304,Esophagogastroduodenoscopy,Diagnostic Procedure;
C0079323,Extracellular Matrix Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0079382,friend,Population Group;
C0079395,G1 Phase,Cell Function;
C0079396,G2 Phase,Cell Function;
C0079399,Gender,Organism Attribute;
C0079411,Generations,Temporal Concept;
C0079419,TP53 gene,Gene or Genome;
C0079424,Retinoblastoma Genes,Gene or Genome;
C0079427,Tumor Suppressor Genes,Gene or Genome;
C0079459,Granulocyte Colony-Stimulating Factor,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079460,Granulocyte-Macrophage Colony-Stimulating Factor,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079471,HRAS gene,Gene or Genome;
C0079487,Helicobacter Infections,Disease or Syndrome;
C0079488,Helicobacter pylori,Bacterium;
C0079506,"Herpesvirus 7, Human",Virus;
C0079583,"Ichthyosiform Erythroderma, Congenital",Disease or Syndrome;
C0079584,Ichthyosis Vulgaris,Disease or Syndrome;
C0079588,"Ichthyosis, X-Linked",Disease or Syndrome;
C0079595,Imaging Techniques,Diagnostic Procedure;
C0079604,Immunofluorescence Microscopy,Laboratory Procedure;
C0079611,Immunophenotyping,Laboratory Procedure;
C0079613,Adoptive Immunotherapy,Therapeutic or Preventive Procedure;
C0079633,interleukin-8,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079683,Herlitz Disease,Disease or Syndrome;
C0079706,Litigation,Human-caused Phenomenon or Process;
C0079722,"Lymphocytes, Tumor-Infiltrating",Cell;
C0079731,B-Cell Lymphomas,Neoplastic Process;
C0079740,High Grade Lymphoma,Neoplastic Process;
C0079741,"Lymphoma, Intermediate-Grade",Neoplastic Process;
C0079744,Diffuse Large B-Cell Lymphoma,Neoplastic Process;
C0079745,"Lymphoma, Large-Cell, Follicular",Neoplastic Process;
C0079746,Immunoblastic Large-Cell Lymphoma,Neoplastic Process;
C0079747,"Lymphoma, Low-Grade",Neoplastic Process;
C0079748,Precursor cell lymphoblastic lymphoma,Neoplastic Process;
C0079758,"Lymphoma, Mixed-Cell, Follicular",Neoplastic Process;
C0079772,T-Cell Lymphoma,Neoplastic Process;
C0079773,"Lymphoma, T-Cell, Cutaneous",Neoplastic Process;
C0079774,Peripheral T-Cell Lymphoma,Neoplastic Process;
C0079785,Macrophage-1 Antigen,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079809,Measures,Quantitative Concept;
C0079816,Medical Research activity,Research Activity;
C0079850,Mohs Surgery,Therapeutic or Preventive Procedure;
C0079853,Moon,Geographic Area;
C0079866,Mutagenesis Process,Molecular Function;
C0079870,"Mutagenesis, Site-Directed",Genetic Function;
C0079891,Indigenous Population (Natives),Population Group;
C0079904,NF-kappa B,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0079920,occupational health specialty,Biomedical Occupation or Discipline;
C0079946,National origin,Classification;
C0079989,Parathyroidectomy,Therapeutic or Preventive Procedure;
C0080026,Planets,Functional Concept;
C0080029,Plastic Casts,Medical Device;
C0080039,Posterior Cruciate Ligament,"Body Part, Organ, or Organ Component;"
C0080040,Postpoliomyelitis Syndrome,Disease or Syndrome;
C0080049,Prizes,Manufactured Object;
C0080055,Protein p53,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0080065,Proto-Oncogene Proteins c-myc,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0080078,"Range of Motion, Articular",Clinical Attribute;
C0080089,Reading Frames (Nucleotide Sequence),Nucleotide Sequence;
C0080101,Regret,Mental Process;
C0080103,Relative (related person),Family Group;
C0080105,Research Subject,Population Group;
C0080113,Retinoblastoma Protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0080129,S Phase,Temporal Concept;
C0080141,Racial Segregation,Social Behavior;
C0080159,Vesicular Skin Diseases,Disease or Syndrome;
C0080171,"Spectrometry, Mass, Fast Atom Bombardment",Laboratory Procedure;
C0080188,"Antigens, CD15",Organic Chemical;Immunologic Factor;
C0080194,Muscle strain,Injury or Poisoning;
C0080203,Tachyarrhythmia,Finding;
C0080231,Tissue Donation,Individual Behavior;
C0080274,Urinary Retention,Functional Concept;
C0080322,Branchial arch structure,Embryonic Structure;
C0080331,Walking (function),Daily or Recreational Activity;
C0081027,"4,4',5'-trimethylazapsoralen",Organic Chemical;
C0081283,"6-amino-1,2-benzopyrone",Organic Chemical;Pharmacologic Substance;
C0081487,Aggrecans,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0082613,"FOSB protein, human","Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0082831,hemoglobin Lepore Baltimore,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0083183,lactase,"Amino Acid, Peptide, or Protein;Pharmacologic Substance;Enzyme;"
C0083258,loricrin,"Amino Acid, Peptide, or Protein;Receptor;"
C0083355,amsacrine/azacitidine/etoposide,Therapeutic or Preventive Procedure;
C0083433,methylisoamylnitrosamine,Organic Chemical;Pharmacologic Substance;
C0083725,Neurofibromatosis Type 1 Protein,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0083765,Fluorouracil/Methotrexate/Mitoxantrone Regimen,Therapeutic or Preventive Procedure;
C0083772,nodularin,"Amino Acid, Peptide, or Protein;"
C0083951,"partition protein parB, Bacteria","Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0084136,"cystatin C, N-terminal tetrapeptide","Amino Acid, Peptide, or Protein;Pharmacologic Substance;"
C0084548,signal sequence receptor,"Amino Acid, Peptide, or Protein;Receptor;"
C0084785,thyroid transcription factor 1,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0084844,trestolone,Organic Chemical;Pharmacologic Substance;
C0085074,Granuloma Annulare,Disease or Syndrome;
C0085077,Sweet Syndrome,Disease or Syndrome;
C0085078,Lysosomal Storage Diseases,Disease or Syndrome;
C0085081,Forestry,Occupation or Discipline;
C0085084,Motor Neuron Disease,Disease or Syndrome;
C0085086,Weight-bearing,Finding;
C0085089,Morphologic artifacts,Human-caused Phenomenon or Process;
C0085096,Peripheral Vascular Diseases,Disease or Syndrome;
C0085098,Police,Professional or Occupational Group;
C0085103,Neurites,Cell Component;
C0085104,Drug Delivery Systems,Medical Device;
C0085106,Familial benign pemphigus,Disease or Syndrome;
C0085114,NF2 gene,Gene or Genome;
C0085122,Workload,Quantitative Concept;
C0085133,Reed-Sternberg Cells,Cell;
C0085134,Cessation of smoking,Individual Behavior;
C0085136,Central Nervous System Neoplasms,Neoplastic Process;
C0085138,Choroid Plexus Neoplasms,Neoplastic Process;
C0085140,Prosencephalon,"Body Part, Organ, or Organ Component;"
C0085148,"Hemostasis, Endoscopic",Therapeutic or Preventive Procedure;
C0085149,tacrolimus,Organic Chemical;Pharmacologic Substance;
C0085155,Generic Drugs,Pharmacologic Substance;
C0085156,Basal lamina of choroid,Tissue;
C0085160,Hidradenitis,Disease or Syndrome;
C0085162,Pancreaticoduodenectomy,Therapeutic or Preventive Procedure;
C0085166,Bacterial Vaginosis,Disease or Syndrome;
C0085167,Granular cell tumor,Neoplastic Process;
C0085183,"Neoplasms, Second Primary",Neoplastic Process;
C0085186,Plastic Embedding,Laboratory Procedure;
C0085187,telomere,Cell Component;
C0085188,Cryoultramicrotomy,Laboratory Procedure;
C0085193,Ion Pumps,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0085194,Negative Staining,Laboratory Procedure;
C0085195,Shadowing (Histology),Laboratory Procedure;
C0085198,Esophagectomy,Therapeutic or Preventive Procedure;
C0085200,Lewy Bodies,Cell Component;
C0085203,Radiosurgery,Therapeutic or Preventive Procedure;
C0085209,"Encephalopathy, Bovine Spongiform",Disease or Syndrome;
C0085220,Cerebral Amyloid Angiopathy,Disease or Syndrome;
C0085229,Bacterial Capsules,"Amino Acid, Peptide, or Protein;Immunologic Factor;"
C0085236,"Macrophages, Alveolar",Cell;
C0085243,"Mice, Inbred NOD",Mammal;
C0085246,gamma-delta T-Cell Receptor,"Amino Acid, Peptide, or Protein;Immunologic Factor;Receptor;"
C0085247,alpha-beta T-Cell Receptor,"Amino Acid, Peptide, or Protein;Immunologic Factor;Receptor;"
C0085252,Synapsins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0085254,Tissue Fixation,Laboratory Procedure;
C0085255,Synaptophysin,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0085261,Proteus Syndrome,Neoplastic Process;
C0085268,Bone remodeling,Organ or Tissue Function;
C0085270,Orbital Pseudotumor,Disease or Syndrome;
C0085278,Antiphospholipid Syndrome,Disease or Syndrome;
C0085281,Addictive Behavior,Mental or Behavioral Dysfunction;
C0085292,Stiff-Person Syndrome,Disease or Syndrome;
C0085293,Hepatitis E,Disease or Syndrome;
C0085304,Cell Polarity,Spatial Concept;
C0085315,"Toxoplasmosis, Cerebral",Disease or Syndrome;
C0085316,Apicomplexa,Eukaryote;
C0085319,Cryptosporidium parvum,Eukaryote;
C0085345,Microsporidia <fungus>,Fungus;
C0085358,CD8 Antigens,Immunologic Factor;
C0085368,Physarum polycephalum,Eukaryote;
C0085370,Order Amoebida,Eukaryote;
C0085393,Immunocompromised Host,Finding;
C0085399,Ehrlichiosis,Disease or Syndrome;
C0085400,Neurofibrillary degeneration (morphologic abnormality),Cell or Molecular Dysfunction;
C0085401,tau Proteins,"Amino Acid, Peptide, or Protein;Biologically Active Substance;"
C0085402,Metal Ceramic Alloys,Biomedical or Dental Material;
C0085403,Oxidants,Chemical Viewed Functionally;
C0085405,Salvage Therapy,Therapeutic or Preventive Procedure;
C0085407,Microsporidiosis,Disease or Syndrome;
C0085411,Angiodysplasia,Disease or Syndrome;
C0085413,"Polycystic Kidney, Autosomal Dominant",Disease or Syndrome;
